,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,AB Agarkar,2006-2007,4,2,0,15,14,7.50,11,136.36,0,0,0,2,0
1,KK Ahmed,2018-2019,14,1,1,1,1*,-,1,100.00,0,0,0,0,0
2,S Aravind,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
3,R Ashwin,2010-2021,51,11,7,123,31*,30.75,115,106.95,0,0,0,14,1
4,Avesh Khan,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-
5,P Awana,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
6,S Badrinath,2011-2011,1,1,0,43,43,43.00,37,116.21,0,0,0,5,0
7,L Balaji,2012-2012,5,-,-,-,-,-,-,-,-,-,-,-,-
8,STR Binny,2015-2016,3,2,0,35,24,17.50,29,120.68,0,0,0,2,1
9,JJ Bumrah,2016-2022,57,6,4,8,7,4.00,13,61.53,0,0,1,1,0
10,YS Chahal,2016-2022,54,4,2,5,3*,2.50,11,45.45,0,0,0,0,0
11,DL Chahar,2018-2022,20,5,5,22,21*,-,9,244.44,0,0,0,2,1
12,RD Chahar,2019-2021,6,1,0,5,5,5.00,5,100.00,0,0,0,1,0
13,PP Chawla,2010-2012,7,1,0,0,0,0.00,1,0.00,0,0,1,0,0
14,R Dhawan,2016-2016,1,1,1,1,1*,-,2,50.00,0,0,0,0,0
15,S Dhawan,2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50
16,MS Dhoni,2006-2019,98,85,42,1617,56,37.60,1282,126.13,0,2,1,116,52
17,AB Dinda,2009-2012,9,2,1,22,19,22.00,24,91.66,0,0,0,1,0
18,R Dravid,2011-2011,1,1,0,31,31,31.00,21,147.61,0,0,0,0,3
19,S Dube,2019-2020,13,9,3,105,54,17.50,77,136.36,0,1,0,7,6
20,RD Gaikwad,2021-2022,3,3,0,39,21,13.00,36,108.33,0,0,0,4,0
21,G Gambhir,2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
22,Harbhajan Singh,2006-2016,28,13,5,108,21,13.50,87,124.13,0,0,1,11,4
23,DJ Hooda,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,-
24,Ishan Kishan,2021-2022,10,10,1,289,89,32.11,238,121.42,0,2,0,34,8
25,SS Iyer,2017-2022,35,31,9,736,74*,33.45,527,139.65,0,5,2,61,28
26,VR Iyer,2021-2022,8,6,3,128,35*,42.66,78,164.10,0,0,0,14,5
27,RA Jadeja,2009-2022,57,28,13,304,45*,20.26,247,123.07,0,0,2,22,8
28,KM Jadhav,2015-2017,9,6,0,122,58,20.33,99,123.23,0,1,0,12,3
29,Joginder Sharma,2007-2007,4,-,-,-,-,-,-,-,-,-,-,-,-
30,KD Karthik,2006-2019,31,25,14,399,48,36.27,273,146.15,0,0,1,42,15
31,M Kartik,2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,-
32,S Kaul,2018-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
33,Z Khan,2006-2012,17,4,2,13,9,6.50,10,130.00,0,0,0,0,1
34,V Kohli,2010-2022,97,89,25,3296,94*,51.50,2394,137.67,0,30,3,298,92
35,Kuldeep Yadav,2017-2021,23,3,2,43,23*,43.00,48,89.58,0,0,0,2,0
36,DS Kulkarni,2016-2016,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
37,B Kumar,2012-2022,59,13,8,57,16,11.40,76,75.00,0,0,1,0,0
38,P Kumar,2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0
39,Mandeep Singh,2016-2016,3,3,1,87,52*,43.50,73,119.17,0,1,0,11,1
40,M Markande,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
41,A Mishra,2010-2017,10,1,0,0,0,0.00,0,-,0,0,1,0,0
42,Mohammed Shami,2014-2021,17,2,2,0,0*,-,0,-,0,0,0,0,0
43,Mohammed Siraj,2017-2021,4,-,-,-,-,-,-,-,-,-,-,-,-
44,D Mongia,2006-2006,1,1,0,38,38,38.00,45,84.44,0,0,0,4,1
45,T Natarajan,2020-2021,4,-,-,-,-,-,-,-,-,-,-,-,-
46,P Negi,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
47,A Nehra,2009-2017,27,5,0,28,22,5.60,39,71.79,0,0,3,1,2
48,NV Ojha,2010-2010,2,2,0,12,10,6.00,27,44.44,0,0,0,2,0
49,PP Ojha,2009-2010,6,1,1,10,10*,-,6,166.66,0,0,0,0,1
50,D Padikkal,2021-2021,2,2,0,38,29,19.00,38,100.00,0,0,0,2,1
51,MK Pandey,2015-2020,39,33,17,709,79*,44.31,562,126.15,0,3,2,49,19
52,HH Pandya,2016-2021,54,36,9,553,42*,20.48,378,146.29,0,0,2,34,32
53,KH Pandya,2018-2021,19,10,5,124,26*,24.80,95,130.52,0,0,0,8,6
54,RR Pant,2017-2022,43,37,9,683,65*,24.39,543,125.78,0,3,3,51,29
55,Parvez Rasool,2017-2017,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
56,AR Patel,2015-2021,15,10,6,78,20*,19.50,62,125.80,0,0,0,4,3
57,HV Patel,2021-2022,7,2,1,19,18,19.00,12,158.33,0,0,0,2,1
58,MM Patel,2011-2011,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
59,PA Patel,2011-2011,2,2,0,36,26,18.00,32,112.50,0,0,0,4,1
60,IK Pathan,2006-2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7
61,YK Pathan,2007-2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17
62,AM Rahane,2011-2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6
63,KL Rahul,2016-2021,56,52,7,1831,110*,40.68,1285,142.49,2,16,4,164,73
64,SK Raina,2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
65,N Rana,2021-2021,2,2,0,15,9,7.50,27,55.55,0,0,0,0,0
66,Ravi Bishnoi,2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,-
67,AT Rayudu,2014-2016,6,5,1,42,20,10.50,50,84.00,0,0,2,5,0
68,NA Saini,2019-2021,11,3,3,12,11*,-,11,109.09,0,0,0,2,0
69,C Sakariya,2021-2021,2,1,1,5,5*,-,9,55.55,0,0,0,0,0
70,SV Samson,2015-2022,12,11,0,156,39,14.18,131,119.08,0,0,1,7,8
71,Sandeep Sharma,2015-2015,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
72,S Sandeep Warrier,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
73,V Sehwag,2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16
74,V Shankar,2018-2019,9,4,0,101,43,25.25,73,138.35,0,0,0,11,5
75,I Sharma,2008-2013,14,3,2,8,5*,8.00,9,88.88,0,0,1,1,0
76,KV Sharma,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
77,MM Sharma,2014-2015,8,2,2,3,3*,-,7,42.85,0,0,0,0,0
78,R Sharma,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
79,RG Sharma,2007-2022,124,116,15,3308,118,32.75,2365,139.87,4,26,7,292,155
80,PP Shaw,2021-2021,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
81,RP Singh,2007-2009,10,2,2,3,2*,-,3,100.00,0,0,0,0,0
82,BB Sran,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-
83,S Sreesanth,2006-2008,10,3,2,20,19*,20.00,14,142.85,0,0,1,4,0
84,SR Tendulkar,2006-2006,1,1,0,10,10,10.00,12,83.33,0,0,0,2,0
85,SN Thakur,2018-2022,25,6,3,69,22*,23.00,38,181.57,0,0,2,5,4
86,MK Tiwary,2011-2012,3,1,0,15,15,15.00,17,88.23,0,0,0,0,0
87,S Tyagi,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
88,JD Unadkat,2016-2018,10,-,-,-,-,-,-,-,-,-,-,-,-
89,RV Uthappa,2007-2015,13,12,2,249,50,24.90,211,118.00,0,1,1,26,6
90,CV Varun,2021-2021,6,1,0,0,0,0.00,2,0.00,0,0,1,0,0
91,M Vijay,2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8
92,R Vinay Kumar,2010-2013,9,1,1,2,2*,-,4,50.00,0,0,0,0,0
93,Washington Sundar,2017-2021,31,11,4,47,14*,6.71,32,146.87,0,0,3,4,3
94,SA Yadav,2021-2022,14,12,3,351,65,39.00,212,165.56,0,4,1,32,20
95,UT Yadav,2012-2019,7,1,0,2,2,2.00,4,50.00,0,0,0,0,0
96,Yuvraj Singh,2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74
